City,Date,T2m_mean_C,RH2m_mean_pct,Wind10m_mean_ms,Precipitation_sum_mm,Requested_latitude,Requested_longitude,Grid_latitude,Grid_longitude,Grid_elevation_m,Timezone,Source_model
Beograd,2020-02-17,9.1,63,2.99,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-18,7.6,78,2.83,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-19,7.2,70,1.77,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-20,5.9,78,3.51,2.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-21,3.6,75,2.37,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-22,4.7,68,2.65,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-23,7.4,60,2.41,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-24,9.3,53,3.77,0.4,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-25,9.5,55,2.74,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-26,11.8,63,3.64,3.3,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-27,4.9,78,4.16,6.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-28,4.7,73,5.08,4.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-02-29,5.9,63,3.11,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-01,10.4,52,3.78,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-02,14.8,52,4.18,4.2,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-03,15.7,58,4.5,3.7,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-04,8.5,86,3.19,6.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-05,6.5,74,2.58,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-06,8.0,72,4.64,3.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-07,9.0,83,2.9,2.7,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-08,5.7,85,2.85,3.7,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-09,6.9,87,1.58,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-10,7.3,79,2.6,1.5,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-11,10.0,70,2.02,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-12,15.4,60,3.07,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-13,12.9,64,3.05,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-14,9.7,59,1.69,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-15,6.9,62,3.73,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-16,6.7,51,5.53,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-17,9.4,49,2.8,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-18,9.5,58,2.1,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-19,10.8,55,1.81,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-20,12.3,55,1.36,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-21,12.7,58,2.46,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-22,6.0,61,4.28,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-23,1.7,57,3.7,0.3,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-24,0.5,93,5.21,13.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-25,1.4,76,5.76,3.2,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-26,6.8,58,6.64,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-27,10.8,52,5.14,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-28,10.0,60,2.04,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-29,11.4,57,2.87,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-30,7.8,62,4.46,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-03-31,3.9,48,3.14,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-01,3.3,67,3.54,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-02,6.1,59,2.68,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-03,8.9,56,1.94,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-04,10.7,54,2.52,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-05,12.7,48,3.24,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-06,12.3,30,4.8,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-07,11.2,30,4.13,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-08,11.2,42,2.55,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-09,13.5,43,1.7,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-10,15.2,39,3.02,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-11,14.6,46,2.07,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-12,14.8,43,1.78,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-13,18.1,40,3.4,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-14,10.1,68,4.1,9.5,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-15,7.1,65,2.47,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-16,11.3,53,2.18,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-17,16.4,44,2.41,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-18,18.5,43,1.73,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-19,19.6,43,2.68,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-20,14.8,51,3.16,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-21,11.6,53,4.77,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-22,11.9,54,3.44,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-23,13.2,45,2.98,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-24,13.6,50,1.7,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-25,17.4,41,3.33,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-26,14.4,47,2.06,0.2,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-27,14.9,50,1.63,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-28,18.9,47,2.05,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-29,18.6,58,2.37,0.4,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-04-30,16.9,70,2.76,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-05-01,15.8,71,2.12,1.9,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-05-02,13.3,90,2.21,8.4,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-05-03,13.8,68,4.79,0.4,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-05-04,13.4,60,4.05,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2020-05-05,15.5,60,1.77,4.5,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
